date,day_of_week,month,is_weekend,is_flu_season,is_monsoon_season,is_holiday,ward,ward_capacity,admissions,occupancy_rate,risk_level
2024-01-01,0,1,0,1,0,1,General,26,32,1.0,high
2024-01-01,0,1,0,1,0,1,ICU,7,6,0.933,high
2024-01-01,0,1,0,1,0,1,Pediatrics,12,14,1.0,high
2024-01-01,0,1,0,1,0,1,Maternity,9,6,0.705,medium
2024-01-01,0,1,0,1,0,1,Orthopedics,8,4,0.527,low
2024-01-02,1,1,0,1,0,0,General,26,25,0.938,high
2024-01-02,1,1,0,1,0,0,ICU,7,5,0.619,medium
2024-01-02,1,1,0,1,0,0,Pediatrics,12,10,0.805,medium
2024-01-02,1,1,0,1,0,0,Maternity,9,6,0.682,medium
2024-01-02,1,1,0,1,0,0,Orthopedics,8,5,0.554,low
2024-01-03,2,1,0,1,0,0,General,26,33,1.0,high
2024-01-03,2,1,0,1,0,0,ICU,7,5,0.643,medium
2024-01-03,2,1,0,1,0,0,Pediatrics,12,12,1.0,high
2024-01-03,2,1,0,1,0,0,Maternity,9,5,0.574,low
2024-01-03,2,1,0,1,0,0,Orthopedics,8,5,0.61,medium
2024-01-04,3,1,0,1,0,0,General,26,25,1.0,high
2024-01-04,3,1,0,1,0,0,ICU,7,5,0.661,medium
2024-01-04,3,1,0,1,0,0,Pediatrics,12,15,1.0,high
2024-01-04,3,1,0,1,0,0,Maternity,9,7,0.68,medium
2024-01-04,3,1,0,1,0,0,Orthopedics,8,5,0.635,medium
2024-01-05,4,1,0,1,0,0,General,26,30,1.0,high
2024-01-05,4,1,0,1,0,0,ICU,7,5,0.699,medium
2024-01-05,4,1,0,1,0,0,Pediatrics,12,10,0.797,medium
2024-01-05,4,1,0,1,0,0,Maternity,9,6,0.72,medium
2024-01-05,4,1,0,1,0,0,Orthopedics,8,6,0.662,medium
2024-01-06,5,1,1,1,0,0,General,26,21,0.788,medium
2024-01-06,5,1,1,1,0,0,ICU,7,5,0.745,medium
2024-01-06,5,1,1,1,0,0,Pediatrics,12,11,0.963,high
2024-01-06,5,1,1,1,0,0,Maternity,9,4,0.429,low
2024-01-06,5,1,1,1,0,0,Orthopedics,8,5,0.674,medium
2024-01-07,6,1,1,1,0,0,General,26,19,0.721,medium
2024-01-07,6,1,1,1,0,0,ICU,7,5,0.654,medium
2024-01-07,6,1,1,1,0,0,Pediatrics,12,11,0.984,high
2024-01-07,6,1,1,1,0,0,Maternity,9,5,0.606,medium
2024-01-07,6,1,1,1,0,0,Orthopedics,8,5,0.593,low
2024-01-08,0,1,0,1,0,0,General,26,28,1.0,high
2024-01-08,0,1,0,1,0,0,ICU,7,5,0.793,medium
2024-01-08,0,1,0,1,0,0,Pediatrics,12,8,0.708,medium
2024-01-08,0,1,0,1,0,0,Maternity,9,7,0.763,medium
2024-01-08,0,1,0,1,0,0,Orthopedics,8,6,0.651,medium
2024-01-09,1,1,0,1,0,0,General,26,26,1.0,high
2024-01-09,1,1,0,1,0,0,ICU,7,6,0.831,medium
2024-01-09,1,1,0,1,0,0,Pediatrics,12,12,0.975,high
2024-01-09,1,1,0,1,0,0,Maternity,9,8,0.905,high
2024-01-09,1,1,0,1,0,0,Orthopedics,8,6,0.776,medium
2024-01-10,2,1,0,1,0,0,General,26,27,1.0,high
2024-01-10,2,1,0,1,0,0,ICU,7,5,0.698,medium
2024-01-10,2,1,0,1,0,0,Pediatrics,12,12,0.927,high
2024-01-10,2,1,0,1,0,0,Maternity,9,7,0.791,medium
2024-01-10,2,1,0,1,0,0,Orthopedics,8,6,0.738,medium
2024-01-11,3,1,0,1,0,0,General,26,21,0.787,medium
2024-01-11,3,1,0,1,0,0,ICU,7,5,0.674,medium
2024-01-11,3,1,0,1,0,0,Pediatrics,12,13,1.0,high
2024-01-11,3,1,0,1,0,0,Maternity,9,8,0.898,high
2024-01-11,3,1,0,1,0,0,Orthopedics,8,6,0.746,medium
2024-01-12,4,1,0,1,0,0,General,26,19,0.729,medium
2024-01-12,4,1,0,1,0,0,ICU,7,5,0.837,medium
2024-01-12,4,1,0,1,0,0,Pediatrics,12,13,1.0,high
2024-01-12,4,1,0,1,0,0,Maternity,9,7,0.719,medium
2024-01-12,4,1,0,1,0,0,Orthopedics,8,7,0.913,high
2024-01-13,5,1,1,1,0,0,General,26,23,0.839,medium
2024-01-13,5,1,1,1,0,0,ICU,7,7,0.93,high
2024-01-13,5,1,1,1,0,0,Pediatrics,12,11,1.0,high
2024-01-13,5,1,1,1,0,0,Maternity,9,4,0.416,low
2024-01-13,5,1,1,1,0,0,Orthopedics,8,5,0.6,medium
2024-01-14,6,1,1,1,0,0,General,26,16,0.619,medium
2024-01-14,6,1,1,1,0,0,ICU,7,5,0.738,medium
2024-01-14,6,1,1,1,0,0,Pediatrics,12,9,0.827,medium
2024-01-14,6,1,1,1,0,0,Maternity,9,4,0.428,low
2024-01-14,6,1,1,1,0,0,Orthopedics,8,5,0.563,low
2024-01-15,0,1,0,1,0,1,General,26,31,1.0,high
2024-01-15,0,1,0,1,0,1,ICU,7,4,0.581,low
2024-01-15,0,1,0,1,0,1,Pediatrics,12,15,1.0,high
2024-01-15,0,1,0,1,0,1,Maternity,9,4,0.378,low
2024-01-15,0,1,0,1,0,1,Orthopedics,8,5,0.64,medium
2024-01-16,1,1,0,1,0,0,General,26,28,1.0,high
2024-01-16,1,1,0,1,0,0,ICU,7,5,0.726,medium
2024-01-16,1,1,0,1,0,0,Pediatrics,12,14,1.0,high
2024-01-16,1,1,0,1,0,0,Maternity,9,8,0.913,high
2024-01-16,1,1,0,1,0,0,Orthopedics,8,5,0.658,medium
2024-01-17,2,1,0,1,0,0,General,26,23,0.924,high
2024-01-17,2,1,0,1,0,0,ICU,7,6,0.816,medium
2024-01-17,2,1,0,1,0,0,Pediatrics,12,15,1.0,high
2024-01-17,2,1,0,1,0,0,Maternity,9,7,0.873,high
2024-01-17,2,1,0,1,0,0,Orthopedics,8,6,0.712,medium
2024-01-18,3,1,0,1,0,0,General,26,23,0.844,medium
2024-01-18,3,1,0,1,0,0,ICU,7,5,0.731,medium
2024-01-18,3,1,0,1,0,0,Pediatrics,12,14,1.0,high
2024-01-18,3,1,0,1,0,0,Maternity,9,7,0.85,high
2024-01-18,3,1,0,1,0,0,Orthopedics,8,6,0.886,high
2024-01-19,4,1,0,1,0,0,General,26,30,1.0,high
2024-01-19,4,1,0,1,0,0,ICU,7,4,0.596,low
2024-01-19,4,1,0,1,0,0,Pediatrics,12,13,1.0,high
2024-01-19,4,1,0,1,0,0,Maternity,9,7,0.774,medium
2024-01-19,4,1,0,1,0,0,Orthopedics,8,5,0.549,low
2024-01-20,5,1,1,1,0,0,General,26,19,0.774,medium
2024-01-20,5,1,1,1,0,0,ICU,7,6,0.795,medium
2024-01-20,5,1,1,1,0,0,Pediatrics,12,10,0.853,high
2024-01-20,5,1,1,1,0,0,Maternity,9,4,0.452,low
2024-01-20,5,1,1,1,0,0,Orthopedics,8,5,0.568,low
2024-01-21,6,1,1,1,0,0,General,26,21,0.836,medium
2024-01-21,6,1,1,1,0,0,ICU,7,7,1.0,high
